Código;Descripción;Descripción adicional;Sinónimo;Código de barras;Tipo;Escala
07010009;Comestibles varios;;;;Simple;No usa
07010012;Artículos de cocina;;;;Simple;No usa
07010013;Servicio de transporte;;;;Simple;No usa
07010014;Obsequios al personal;;;;Simple;No usa
07010015;Comestibles varios 10,5;;;;Simple;No usa
07010016;Gas envasado administración ;;;;Simple;No usa
07010017;Obsequios al personal 10.5;;;;Simple;No usa
07010018;Otros gastos del personal ;;;;Simple;No usa
07010019;Capacitaciones Exentas;;;;Simple;No usa
07010020;Comestibles varios NG;;;;Simple;No usa
07010021;Viandas 10.5;;;;Simple;No usa
07010022;Cajas Navideñas ;;;;Simple;No usa
07010023;Agasajo al personal NG;;;;Simple;No usa
07010024;Beneficio farmanor ;;;;Simple;No usa
07020001;Calzado de trabajo;;;;Simple;No usa
07020002;Pantalón de trabajo;;;;Simple;No usa
07020003;Chaleco;;;;Simple;No usa
07020004;Buzo friza;;;;Simple;No usa
07020005;Uniformes;;;;Simple;No usa
07020006;Etiqueta de tela;;;;Simple;No usa
07020007;Remera;;;;Simple;No usa
07020008;Campera;;;;Simple;No usa
07020009;Bordado de indumentaria;;;;Simple;No usa
07020010;Guardapolvo ;;;;Simple;No usa
07020011;Mameluco de trabajo;;;;Simple;No usa
07020012;Gorra;;;;Simple;No usa
07020013;Estampado de indumentaria;;;;Simple;No usa
07030001;Servicio seg e higiene;;;;Simple;No usa
07030002;Toalla;;;;Simple;No usa
07030003;Toallón;;;;Simple;No usa
07030004;Lentes de protección;;;;Simple;No usa
07030005;Bota pvc larga;;;;Simple;No usa
07030006;Guantes multiflex;;;;Simple;No usa
07030007;Guantes de soldador;;;;Simple;No usa
07030008;Protectores oculares;;;;Simple;No usa
07030009;Piloto de lluvia;;;;Simple;No usa
07030010;Delantal de pvc blanco;;;;Simple;No usa
07030011;Mascara fotosensible;;;;Simple;No usa
07030012;Guantes de nitrilo Caja x 100;;;;Simple;No usa
07030014;Protector auditivo;;;;Simple;No usa
07030015;Guante anticorte;;;;Simple;No usa
07030016;Arnes De Seguridad ;;;;Simple;No usa
07030017;Cascos De Seguridad;;;;Simple;No usa
07030018;Protector lumbar;;;;Simple;No usa
07030019;Antiparra;;;;Simple;No usa
07030020;Guante de agarre;;;;Simple;No usa
07030021;Artículos de botiquín 21%;;;;Simple;No usa
07030022;Cartelería de riesgo;;;;Simple;No usa
07030023;Máscara respiratoria facial;P/ fumigar;;;Simple;No usa
07030024;Artículos de botiquín Exento;;;;Simple;No usa
07030025;Mameluco descartable ;;;;Simple;No usa
07030026;Artículos de botiquín 10.5%;;;;Simple;No usa
07030027;Guante dieleléctrico;;;;Simple;No usa
07030028;Guante alta temp. 40cm ;;;;Simple;No usa
